                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.338,                0.78168,                0.92005,                0.85063,                0.91087,                0.92804,                0.53876,                 1.1629,                0.67063,                 0.8009,             0.00066606,             0.00066606,             0.00066606
                      2,                 1.3204,                0.81217,                0.92232,                0.86153,                0.89276,                0.92135,                0.53532,                  1.174,                0.91598,                0.80315,              0.0010688,              0.0010688,              0.0010688
                      3,                 1.3463,                0.82455,                0.92712,                 0.8705,                0.90374,                0.93454,                0.53295,                  1.172,                 0.7576,                0.80762,              0.0012076,              0.0012076,              0.0012076
                      4,                 1.3482,                  0.815,                 0.9213,                0.89137,                 0.8995,                0.94149,                0.55796,                   1.12,                0.65155,                0.79102,               0.000812,               0.000812,               0.000812
                      5,                 1.3422,                0.80153,                0.93363,                0.86604,                0.92068,                0.93967,                0.56991,                 1.1139,                0.62534,                0.78443,               0.000416,               0.000416,               0.000416
                      1,                 1.3442,                0.79394,                0.92303,                0.85545,                0.92157,                  0.928,                0.53596,                 1.1627,                0.65121,                0.80388,             0.00066606,             0.00066606,             0.00066606
                      2,                 1.3239,                0.81178,                 0.9209,                0.85799,                0.90464,                 0.9226,                0.53358,                 1.1543,                0.88398,                0.80349,              0.0010688,              0.0010688,              0.0010688
                      3,                 1.3609,                0.83228,                0.93135,                0.85966,                0.90107,                0.92088,                0.53575,                 1.1592,                0.72663,                0.80507,              0.0012076,              0.0012076,              0.0012076
                      4,                 1.3607,                0.82811,                0.92357,                0.88087,                0.90731,                0.94166,                0.55739,                 1.1493,                0.63869,                0.79422,               0.000812,               0.000812,               0.000812
                      5,                 1.3551,                0.80671,                0.93461,                0.86444,                0.91711,                0.94124,                0.57484,                 1.1198,                0.61406,                0.78534,               0.000416,               0.000416,               0.000416
